Program Version:,EnergyPlus, Version 24.2.0-94a887817b, YMD=2025.04.10 17:22
Tabular Output Report in Format: ,Comma

Building:,HotelLarge
Environment:,RUNPERIOD 1 ** New York J F Kennedy IntL Ar NY USA TMY3 WMO#=744860

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      8760.00 hours

Site and Source Energy

,,Total Energy [GJ],Energy Per Total Building Area [MJ/m2],Energy Per Conditioned Building Area [MJ/m2]
,Total Site Energy,9593.76,845.62,845.62
,Net Site Energy,9418.40,830.16,830.16
,Total Source Energy,19808.29,1745.95,1745.95
,Net Source Energy,19252.93,1697.00,1697.00


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating Water,3.613
,District Heating Steam,1.200
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil No 1,1.050
,Fuel Oil No 2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,11345.29
,Net Conditioned Building Area,11345.29
,Unconditioned Building Area,0.00


End Uses

,,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,Heating,0.00,667.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,967.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,439.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,150.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,1648.46,1788.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,390.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,600.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,78.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,106.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,90.74,2620.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
,Refrigeration,44.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,,,
,Total End Uses,4516.88,5076.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9857.19
Note: Natural gas appears to be the principal heating source based on energy usage.


End Uses By Subcategory

,,Subcategory,Electricity [GJ],Natural Gas [GJ],Gasoline [GJ],Diesel [GJ],Coal [GJ],Fuel Oil No 1 [GJ],Fuel Oil No 2 [GJ],Propane [GJ],Other Fuel 1 [GJ],Other Fuel 2 [GJ],District Cooling [GJ],District Heating Water [GJ],District Heating Steam [GJ],Water [m3]
,KITCHEN_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,KITCHEN_FLR_6 VAV BOX,KITCHEN_FLR_6,N/A,N/A,N/A,Yes,Yes,Yes,No,5111.927,5111.927,0.552027,0.00011182,157.489,1.0000,1.00000,1.00000,1019.7116,1004.8586,1.2036,unknown,unknown,-999.0,-999.0,,4197.9300,999.8980,9.19046340,48.89,60.00,11.11,428634.04,1.1926,1.216611,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:30:00,unknown,unknown,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:30:00,Sensible,5111.93,5111.93,1.0000,0.66441700,0.552027,16.70,13.18,0.00800000,37036.7,40.00,21.18,0.00800000,60796.0,0.11181214,60.00,48.89,11.11,0.000,5111.93,-10.70,0.00150390,-10.70,0.00000000,0.0000,20.54,0.00654220,21.00,0.00654220,42.3797,2208.57,0.00,5133.74,5133.74,0.66441700,16.60,13.15,0.00800000,36934.7,24.18,16.02,0.00800000,44661.4
,CORRIDOR_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,CORRIDOR_FLR_6 VAV BOX,CORRIDOR_FLR_6,N/A,N/A,N/A,Yes,Yes,Yes,No,7030.789,7030.789,0.245888,0.00015380,291.338,1.0000,1.00000,1.00000,1019.7116,1004.8586,1.2036,unknown,unknown,-999.0,-999.0,,4197.9300,999.8980,9.19046340,48.89,60.00,11.11,428634.04,1.6403,1.673289,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:40:00,unknown,unknown,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:40:00,Sensible,7030.79,7030.79,1.0000,0.29594972,0.245888,16.70,13.18,0.00800000,37036.7,40.00,21.18,0.00800000,60796.0,0.15378303,60.00,48.89,11.11,0.000,7030.79,-10.70,0.00150390,-10.70,0.00000000,0.0000,21.00,0.00766037,21.00,0.00766037,49.5259,5734.01,0.00,7064.42,7064.42,0.29594972,16.60,13.15,0.00800000,36934.7,40.01,21.18,0.00800000,60805.1
,VAV WITH REHEAT COOLING COIL,Coil:Cooling:Water,AirLoop,AirLoopHVAC,VAV WITH REHEAT,BASEMENT; RETAIL_1_FLR_1; RETAIL_2_FLR_1; MECH_FLR_1; STORAGE_FLR_1; LAUNDRY_FLR_1; CAFE_FLR_1; LOBBY_FLR_1; CORRIDOR_FLR_3; CORRIDOR_FLR_6; BANQUET_FLR_6; DINING_FLR_6; KITCHEN_FLR_6;,Coincident,CoolingDesignCapacity,N/A,Yes,Yes,Yes,No,609889.564,-999.000,19.666660,0.01744276,-999.000,-999.0000,1.00000,1.00000,1026.8802,1004.8586,1.2036,VAV WITH REHEAT FAN,Fan:VariableVolume,19.666660,23.67069314,,4197.9300,999.8980,24.71187495,15.03,6.70,8.33,864143.55,70.5773,70.577344,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:00:00,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 13:40:00,Sensible,609889.56,402118.08,1.0000,23.67069314,19.666660,27.84,20.32,0.01185627,58237.5,10.99,10.99,0.00850000,32471.9,17.44098499,6.70,15.03,8.33,44065.877,565823.69,32.10,0.01411964,23.13,9.32920000,47.4366,23.99,0.00981245,23.99,0.00982764,52.7926,270275.79,0.00,610627.72,399267.92,23.67069314,27.84,20.33,0.01185627,58237.5,11.41,11.33,0.00831597,32440.7
,VAV WITH REHEAT HEATING COIL,Coil:Heating:Water,AirLoop,AirLoopHVAC,VAV WITH REHEAT,BASEMENT; RETAIL_1_FLR_1; RETAIL_2_FLR_1; MECH_FLR_1; STORAGE_FLR_1; LAUNDRY_FLR_1; CAFE_FLR_1; LOBBY_FLR_1; CORRIDOR_FLR_3; CORRIDOR_FLR_6; BANQUET_FLR_6; DINING_FLR_6; KITCHEN_FLR_6;,Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,195518.448,195518.448,5.899998,0.00427697,3963.540,-999.0000,1.00000,1.00000,1019.7116,1004.8586,1.2036,VAV WITH REHEAT FAN,Fan:VariableVolume,19.666660,23.67069314,,4197.9300,999.8980,9.19046340,48.89,60.00,11.11,428634.04,45.6143,46.532313,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:40:00,unknown,unknown,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 23:40:00,Sensible,195518.45,195518.45,1.0000,7.10120794,5.899998,-10.70,-10.70,0.00150390,-7020.5,16.70,13.18,0.00800000,37036.7,4.27653520,60.00,48.89,11.11,0.000,195518.45,-10.70,0.00150390,-10.70,9.32920000,158.1221,18.52,0.00674083,21.11,0.00632516,40.7040,56429.70,0.00,158446.03,158446.03,7.10120794,2.80,-1.97,0.00150390,6582.5,24.94,9.95,0.00150390,28895.1
,FLR_3_DOAS COOLING COIL,Coil:Cooling:Water,AirLoop,AirLoopHVAC,FLR_3_DOAS,ROOM_1_FLR_3; ROOM_2_FLR_3; ROOM_3_MULT19_FLR_3; ROOM_4_MULT19_FLR_3; ROOM_5_FLR_3; ROOM_6_FLR_3; ROOM_1_FLR_6; ROOM_2_FLR_6; ROOM_3_MULT9_FLR_6;,Coincident,CoolingDesignCapacity,N/A,Yes,Yes,Yes,No,86334.709,-999.000,2.051317,0.00246916,-999.000,-999.0000,1.00000,1.00000,1031.0877,1004.8586,1.2036,FLR_3_DOAS FAN,Fan:ConstantVolume,2.051245,2.46886833,,4197.9300,999.8980,24.71187495,15.03,6.70,8.33,864143.55,9.9908,9.990783,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:30:00,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:30:00,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB,7/21 14:30:00,Sensible,86334.71,51162.86,1.0000,2.46895513,2.051317,32.10,23.13,0.01411964,68410.3,11.94,11.74,0.00850000,33442.2,2.46890985,6.70,15.03,8.33,2195.006,84139.70,32.10,0.01411964,23.13,2.05124512,99.9965,21.11,0.00877363,21.11,0.00876718,56.1987,140373.72,0.00,86440.35,51650.49,2.46895513,32.10,23.14,0.01411964,68410.3,11.81,11.72,0.00853442,33399.4
,FLR_3_DOAS HEATING COIL,Coil:Heating:Water,AirLoop,AirLoopHVAC,FLR_3_DOAS,ROOM_1_FLR_3; ROOM_2_FLR_3; ROOM_3_MULT19_FLR_3; ROOM_4_MULT19_FLR_3; ROOM_5_FLR_3; ROOM_6_FLR_3; ROOM_1_FLR_6; ROOM_2_FLR_6; ROOM_3_MULT9_FLR_6;,Coincident,HeatingDesignCapacity,N/A,Yes,Yes,Yes,No,20393.415,20393.415,0.615395,0.00044611,413.414,-999.0000,1.00000,1.00000,1019.7116,1004.8586,1.2036,FLR_3_DOAS FAN,Fan:ConstantVolume,2.051245,2.46886833,,4197.9300,999.8980,9.19046340,48.89,60.00,11.11,428634.04,4.7578,4.853520,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 24:00:00,unknown,unknown,NEW.YORK-JOHN.F.KENNEDY.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB,1/21 24:00:00,Sensible,20393.42,20393.42,1.0000,0.74068654,0.615395,-10.70,-10.70,0.00150390,-7020.5,16.70,13.18,0.00800000,37036.7,0.44606102,60.00,48.89,11.11,0.000,20393.42,-10.70,0.00150390,-10.70,2.05124512,333.3216,21.11,0.00738274,21.11,0.00738301,47.4300,90968.06,0.00,16526.60,16526.60,0.74068654,2.80,-1.97,0.00150390,6582.5,24.94,9.95,0.00150390,28895.1


Coil Connections

,,Coil Name,Coil Type,Coil Location,HVAC Type,HVAC Name,Zone Name(s),Supply Fan Name for HVAC,Supply Fan Type for HVAC,Airloop Name,Plant Name for Coil,Plant Loop Name
,BASEMENT VAV BOX REHEAT COIL,BASEMENT VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,BASEMENT VAV BOX,BASEMENT,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,RETAIL_1_FLR_1 VAV BOX REHEAT COIL,RETAIL_1_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,RETAIL_1_FLR_1 VAV BOX,RETAIL_1_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,RETAIL_2_FLR_1 VAV BOX REHEAT COIL,RETAIL_2_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,RETAIL_2_FLR_1 VAV BOX,RETAIL_2_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,MECH_FLR_1 VAV BOX REHEAT COIL,MECH_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,MECH_FLR_1 VAV BOX,MECH_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,STORAGE_FLR_1 VAV BOX REHEAT COIL,STORAGE_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,STORAGE_FLR_1 VAV BOX,STORAGE_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,LAUNDRY_FLR_1 VAV BOX REHEAT COIL,LAUNDRY_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,LAUNDRY_FLR_1 VAV BOX,LAUNDRY_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,CAFE_FLR_1 VAV BOX REHEAT COIL,CAFE_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,CAFE_FLR_1 VAV BOX,CAFE_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,LOBBY_FLR_1 VAV BOX REHEAT COIL,LOBBY_FLR_1 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,LOBBY_FLR_1 VAV BOX,LOBBY_FLR_1,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,ROOM_1_FLR_3 FAN COIL COOLING COIL,ROOM_1_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_1_FLR_3 FAN COIL,ROOM_1_FLR_3,ROOM_1_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_1_FLR_3 FAN COIL HEATING COIL,ROOM_1_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_1_FLR_3 FAN COIL,ROOM_1_FLR_3,ROOM_1_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_2_FLR_3 FAN COIL COOLING COIL,ROOM_2_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_2_FLR_3 FAN COIL,ROOM_2_FLR_3,ROOM_2_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_2_FLR_3 FAN COIL HEATING COIL,ROOM_2_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_2_FLR_3 FAN COIL,ROOM_2_FLR_3,ROOM_2_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_3_MULT19_FLR_3 FAN COIL COOLING COIL,ROOM_3_MULT19_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_3_MULT19_FLR_3 FAN COIL,ROOM_3_MULT19_FLR_3,ROOM_3_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_3_MULT19_FLR_3 FAN COIL HEATING COIL,ROOM_3_MULT19_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_3_MULT19_FLR_3 FAN COIL,ROOM_3_MULT19_FLR_3,ROOM_3_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_4_MULT19_FLR_3 FAN COIL COOLING COIL,ROOM_4_MULT19_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_4_MULT19_FLR_3 FAN COIL,ROOM_4_MULT19_FLR_3,ROOM_4_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_4_MULT19_FLR_3 FAN COIL HEATING COIL,ROOM_4_MULT19_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_4_MULT19_FLR_3 FAN COIL,ROOM_4_MULT19_FLR_3,ROOM_4_MULT19_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_5_FLR_3 FAN COIL COOLING COIL,ROOM_5_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_5_FLR_3 FAN COIL,ROOM_5_FLR_3,ROOM_5_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_5_FLR_3 FAN COIL HEATING COIL,ROOM_5_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_5_FLR_3 FAN COIL,ROOM_5_FLR_3,ROOM_5_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_6_FLR_3 FAN COIL COOLING COIL,ROOM_6_FLR_3 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_6_FLR_3 FAN COIL,ROOM_6_FLR_3,ROOM_6_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_6_FLR_3 FAN COIL HEATING COIL,ROOM_6_FLR_3 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_6_FLR_3 FAN COIL,ROOM_6_FLR_3,ROOM_6_FLR_3 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,CORRIDOR_FLR_3 VAV BOX REHEAT COIL,CORRIDOR_FLR_3 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,CORRIDOR_FLR_3 VAV BOX,CORRIDOR_FLR_3,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,ROOM_1_FLR_6 FAN COIL COOLING COIL,ROOM_1_FLR_6 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_1_FLR_6 FAN COIL,ROOM_1_FLR_6,ROOM_1_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_1_FLR_6 FAN COIL HEATING COIL,ROOM_1_FLR_6 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_1_FLR_6 FAN COIL,ROOM_1_FLR_6,ROOM_1_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_2_FLR_6 FAN COIL COOLING COIL,ROOM_2_FLR_6 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_2_FLR_6 FAN COIL,ROOM_2_FLR_6,ROOM_2_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_2_FLR_6 FAN COIL HEATING COIL,ROOM_2_FLR_6 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_2_FLR_6 FAN COIL,ROOM_2_FLR_6,ROOM_2_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,ROOM_3_MULT9_FLR_6 FAN COIL COOLING COIL,ROOM_3_MULT9_FLR_6 FAN COIL COOLING COIL,COIL:COOLING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_3_MULT9_FLR_6 FAN COIL,ROOM_3_MULT9_FLR_6,ROOM_3_MULT9_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,COOLSYS1,COOLSYS1
,ROOM_3_MULT9_FLR_6 FAN COIL HEATING COIL,ROOM_3_MULT9_FLR_6 FAN COIL HEATING COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:FOURPIPEFANCOIL,ROOM_3_MULT9_FLR_6 FAN COIL,ROOM_3_MULT9_FLR_6,ROOM_3_MULT9_FLR_6 FAN COIL FAN COILFAN_FAN,Fan:OnOff,N/A,HEATSYS1,HEATSYS1
,BANQUET_FLR_6 VAV BOX REHEAT COIL,BANQUET_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,BANQUET_FLR_6 VAV BOX,BANQUET_FLR_6,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,DINING_FLR_6 VAV BOX REHEAT COIL,DINING_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,DINING_FLR_6 VAV BOX,DINING_FLR_6,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,KITCHEN_FLR_6 VAV BOX REHEAT COIL,KITCHEN_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,KITCHEN_FLR_6 VAV BOX,KITCHEN_FLR_6,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,CORRIDOR_FLR_6 VAV BOX REHEAT COIL,CORRIDOR_FLR_6 VAV BOX REHEAT COIL,COIL:HEATING:WATER,Zone Equipment,ZONEHVAC:AIRDISTRIBUTIONUNIT,CORRIDOR_FLR_6 VAV BOX,CORRIDOR_FLR_6,unknown,unknown,N/A,HEATSYS1,HEATSYS1
,VAV WITH REHEAT COOLING COIL,VAV WITH REHEAT COOLING COIL,Coil:Cooling:Water,AirLoop,AirLoopHVAC,VAV WITH REHEAT,BASEMENT; RETAIL_1_FLR_1; RETAIL_2_FLR_1; MECH_FLR_1; STORAGE_FLR_1; LAUNDRY_FLR_1; CAFE_FLR_1; LOBBY_FLR_1; CORRIDOR_FLR_3; CORRIDOR_FLR_6; BANQUET_FLR_6; DINING_FLR_6; KITCHEN_FLR_6;,VAV WITH REHEAT FAN,Fan:VariableVolume,VAV WITH REHEAT,COOLSYS1,COOLSYS1
,VAV WITH REHEAT HEATING COIL,VAV WITH REHEAT HEATING COIL,Coil:Heating:Water,AirLoop,AirLoopHVAC,VAV WITH REHEAT,BASEMENT; RETAIL_1_FLR_1; RETAIL_2_FLR_1; MECH_FLR_1; STORAGE_FLR_1; LAUNDRY_FLR_1; CAFE_FLR_1; LOBBY_FLR_1; CORRIDOR_FLR_3; CORRIDOR_FLR_6; BANQUET_FLR_6; DINING_FLR_6; KITCHEN_FLR_6;,VAV WITH REHEAT FAN,Fan:VariableVolume,VAV WITH REHEAT,HEATSYS1,HEATSYS1
,FLR_3_DOAS COOLING COIL,FLR_3_DOAS COOLING COIL,Coil:Cooling:Water,AirLoop,AirLoopHVAC,FLR_3_DOAS,ROOM_1_FLR_3; ROOM_2_FLR_3; ROOM_3_MULT19_FLR_3; ROOM_4_MULT19_FLR_3; ROOM_5_FLR_3; ROOM_6_FLR_3; ROOM_1_FLR_6; ROOM_2_FLR_6; ROOM_3_MULT9_FLR_6;,FLR_3_DOAS FAN,Fan:ConstantVolume,FLR_3_DOAS,COOLSYS1,COOLSYS1
,FLR_3_DOAS HEATING COIL,FLR_3_DOAS HEATING COIL,Coil:Heating:Water,AirLoop,AirLoopHVAC,FLR_3_DOAS,ROOM_1_FLR_3; ROOM_2_FLR_3; ROOM_3_MULT19_FLR_3; ROOM_4_MULT19_FLR_3; ROOM_5_FLR_3; ROOM_6_FLR_3; ROOM_1_FLR_6; ROOM_2_FLR_6; ROOM_3_MULT9_FLR_6;,FLR_3_DOAS FAN,Fan:ConstantVolume,FLR_3_DOAS,HEATSYS1,HEATSYS1


----------------------------------------------------------------------------------------------------
REPORT:,System Summary
FOR:,Entire Facility
Economizer

,,High Limit Shutoff Control,Minimum Outdoor Air [m3/s],Maximum Outdoor Air [m3/s],Return Air Temp Limit,Return Air Enthalpy Limit,Outdoor Air Temperature Limit [C],Outdoor Air Enthalpy Limit [C]
,VAV WITH REHEAT_OA_CONTROLLER,DifferentialEnthalpy,0.00,19.67,-,,,
,FLR_3_DOAS_OA_CONTROLLER,DifferentialDryBulb,2.05,2.05,-,,,


Demand Controlled Ventilation using Controller:MechanicalVentilation

,,Controller:MechanicalVentilation Name,Outdoor Air Per Person [m3/s-person],Outdoor Air Per Area [m3/s-m2],Outdoor Air Per Zone [m3/s],Outdoor Air ACH [ach],Outdoor Air Method,Outdoor Air Schedule Name,Air Distribution Effectiveness in Cooling Mode,Air Distribution Effectiveness in Heating Mode,Air Distribution Effectiveness Schedule Name,Type
,BASEMENT,VAV WITH REHEAT_DCV,0.000000,0.000432,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,RETAIL_1_FLR_1,VAV WITH REHEAT_DCV,0.000000,0.001181,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,RETAIL_2_FLR_1,VAV WITH REHEAT_DCV,0.003540,0.000610,0.000000,0.000000,Sum,,1.00,1.00,,Ventilation Rate Procedure
,MECH_FLR_1,VAV WITH REHEAT_DCV,0.000000,0.000000,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
,STORAGE_FLR_1,VAV WITH REHEAT_DCV,0.000000,0.000610,0.000000,0.000000,Flow/Area,,1.00,1.00,,Ventilation Rate Procedure
